RegCod;Reg;CouCod;Cou;NewHIV;PreHIV;TotHIV;Pop;Rel
EUR;Europe;SWE;Sweden;350;0.3;8200;10500000;Christianity
EUR;Europe;CHE;Switzerland;200;0.2;17000;8790000;Christianity
EMR;Eastern Mediterranean;SYR;Syrian Arab Republic;100;0.1;680;22500000;Islam
EUR;Europe;TJK;Tajikistan;500;0.2;14000;10200000;Islam
SEAR;South-East Asia;THA;Thailand;9400;1.3;580000;71700000;Buddhism
SEAR;South-East Asia;TLS;Timor-Leste;200;0.2;1700;1370000;Christianity
AFR;Africa;TGO;Togo;2600;1.8;110000;9090000;Christianity
AMR;Americas;TTO;Trinidad and Tobago;1500;0.5;34000;1500000;Christianity
EMR;Eastern Mediterranean;TUN;Tunisia;810;0.1;7600;12100000;Islam
EUR;Europe;TUR;Turkey;30000;0.1;23000;87100000;Islam
AFR;Africa;UGA;Uganda;42000;5.8;1500000;47300000;Christianity
EUR;Europe;UKR;Ukraine;14000;1.1;260000;41000000;Christianity
EMR;Eastern Mediterranean;ARE;United Arab Emirates;1500;0.1;1600;10200000;Islam
EUR;Europe;GBR;United Kingdom of Great Britain and Northern Ireland;4000;0.16;106000;68200000;Christianity
AFR;Africa;TZA;United Republic of Tanzania;60000;4.5;1700000;64700000;Christianity
AMR;Americas;USA;United States of America;31800;0.4;1200000;342000000;Christianity
AMR;Americas;URY;Uruguay;810;0.6;15000;3390000;Christianity
EUR;Europe;UZB;Uzbekistan;3700;0.2;59000;34900000;Islam
AMR;Americas;VEN;Venezuela (Bolivarian Republic of);6400;0.4;95000;28200000;Christianity
WPR;Western Pacific;VNM;Vietnam;6600;0.3;250000;99700000;Buddhism
EMR;Eastern Mediterranean;YEM;Yemen;1500;0.1;14000;38200000;Islam
AFR;Africa;ZMB;Zambia;30000;11.4;1300000;20200000;Christianity
AFR;Africa;ZWE;Zimbabwe;17000;12.1;1300000;16100000;Christianity
